time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 12:57:3,67.078442,70.570902,68.867419,71.640964,71.138097,63.081826,70.206267,69.221785,0.099601,0.069080,
1-6-2024 12:57:3,60.904617,62.424796,64.310332,66.078600,69.540901,63.223806,67.878479,67.036078,0.103494,0.072848,
1-6-2024 12:57:3,67.711283,65.572906,60.291081,65.242624,66.924863,69.602008,66.797349,66.317802,0.107262,0.076742,
1-6-2024 12:57:3,64.644785,65.987684,66.015691,71.336923,61.885832,66.830074,66.737778,64.999796,0.111156,0.080635,
1-6-2024 12:57:3,73.227501,64.867244,65.077854,62.366135,65.117688,69.710006,67.379608,65.396110,0.114924,0.084403,
1-6-2024 12:57:3,67.837627,71.771573,66.079474,61.674487,69.811594,69.197585,70.932311,68.180432,0.118818,0.088297,
1-6-2024 12:57:3,68.073926,66.799467,66.723916,70.439807,71.958555,68.496756,65.134734,67.955826,0.122586,0.092065,
1-6-2024 12:57:4,68.733133,70.677472,66.468989,69.104103,68.360679,66.307676,72.621076,67.476093,0.126479,0.095958,
1-6-2024 12:57:4,65.859479,64.541008,73.114624,67.155259,64.594864,71.311860,65.261292,65.910266,0.130373,0.099726,
1-6-2024 12:57:4,69.039153,64.438099,63.052291,66.693857,68.326829,67.515518,66.780226,65.308800,0.134141,0.103620,
1-6-2024 12:57:4,66.416591,70.790797,70.598690,71.693282,66.888773,69.149531,67.102271,72.152485,0.138034,0.107388,
1-6-2024 12:57:4,66.472637,67.250676,66.073649,69.137237,65.775504,67.625669,71.744548,66.503099,0.141802,0.111282,
1-6-2024 12:57:11,63.895276,60.213861,67.629094,67.272494,66.376282,69.748253,62.878848,63.762373,0.145696,0.115050,
1-6-2024 12:57:11,70.492199,66.674966,68.672678,70.688995,68.332912,67.228937,70.097620,69.848811,0.149464,0.118943,
1-6-2024 12:57:11,59.602147,70.253569,68.006488,68.510879,71.445736,66.484543,61.054518,67.214353,0.153358,0.122837,
1-6-2024 12:57:11,67.949591,70.837424,61.605275,68.134871,63.608387,65.780101,69.436139,63.946906,0.157126,0.126605,
1-6-2024 12:57:11,70.232424,67.738180,63.111122,74.418741,63.104599,68.134645,67.245905,64.547729,0.161019,0.130498,
1-6-2024 12:57:11,70.936924,68.478065,67.523397,67.147098,64.194804,70.562430,69.548081,69.459407,0.164913,0.134266,
1-6-2024 12:57:11,66.977740,65.082805,73.942333,72.710168,71.585863,72.093836,70.496438,63.153834,0.168681,0.138160,
1-6-2024 12:57:11,72.376871,63.910644,62.586941,71.703548,66.276912,72.789724,70.021266,65.414234,0.172574,0.141928,
1-6-2024 12:57:11,71.325876,64.500755,64.688570,64.511668,67.449771,68.480347,71.261875,70.860712,0.176342,0.145822,
1-6-2024 12:57:12,59.124700,67.323332,68.759205,73.768085,70.599518,63.275993,61.232531,68.602137,0.180236,0.149590,
1-6-2024 12:57:12,65.691635,63.236302,68.045861,70.279805,64.104739,69.702023,64.624737,67.816871,0.184004,0.153483,
1-6-2024 12:57:12,69.201484,66.259502,64.262475,64.780148,63.338577,64.778314,68.755568,67.900383,0.187898,0.157377,
1-6-2024 12:57:12,65.217185,66.870262,69.270876,64.087549,64.764648,65.870624,68.891523,69.035725,0.191666,0.161145,
1-6-2024 12:57:12,65.127750,68.735100,64.951721,70.393180,72.131330,63.090231,64.275857,67.113985,0.195559,0.165038,
1-6-2024 12:57:12,67.666497,66.518346,62.741357,67.956550,66.293842,64.423263,64.397391,66.855051,0.199327,0.168806,
1-6-2024 12:57:12,67.454849,62.068769,58.378764,60.416262,67.294294,61.847878,66.080639,62.429547,0.203221,0.172700,
1-6-2024 12:57:12,67.791331,67.813114,63.364411,67.784465,63.857773,63.142943,64.338535,74.678927,0.207114,0.176468,
1-6-2024 12:57:12,64.350462,68.849909,66.816068,68.047206,72.396374,69.029057,71.641954,67.383668,0.210882,0.180362,
1-6-2024 12:57:12,70.722386,63.827126,67.238512,68.138230,63.762749,61.330039,65.262951,62.341481,0.214776,0.184130,
1-6-2024 12:57:12,70.258883,70.906074,67.181629,64.386719,67.856574,66.323256,63.284593,63.289962,0.218544,0.188023,
1-6-2024 12:57:12,69.145606,68.761214,69.643446,66.248694,62.653960,68.626404,69.458250,72.350402,0.222438,0.191791,
1-6-2024 12:57:12,74.484295,64.105042,69.481250,66.913122,67.404615,61.329143,67.788430,65.407347,0.226206,0.195685,
